mobile_price,mobile_color,dual_sim,disp_size,os,num_cores,mp_speed,int_memory,ram,battery_power,mob_width,mob_height,mob_depth,mob_weight,res_dim_1,res_dim_2,p_cam_max,p_cam_count,f_cam_max,f_cam_count,2G,3G,4G,4GVOLTE,5G
21999,Black,Dual Sim,6.39,Android Pie 9,8,2.2,64,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
13495,Gold,Dual Sim,5.99,other,8,2.0,64,4,3080,77.26,160.73,8.1,168.0,1440,720,12,2,16,1,1,1,1,0,0
29999,Other,Dual Sim,6.39,Android Pie 9,8,2.84,256,8,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
24999,Blue,Dual Sim,6.39,Android Pie 9,8,2.2,128,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
15990,Gold,Dual Sim,6.26,Android Oreo 8.1,8,1.8,64,4,4000,76.4,157.9,8.26,181.0,2280,1080,12,2,20,2,1,1,1,1,0
13999,Red,Dual Sim,5.99,Android Oreo 8.1,8,2.2,64,4,3010,75.4,158.7,7.3,168.0,2160,1080,20,2,20,1,1,1,1,1,0
55799,Other,Dual Sim,6.67,other,8,2.84,256,8,4780,74.8,162.58,8.96,209.0,2340,1080,10,1,20,1,0,0,0,1,1
51800,Other,Dual Sim,6.67,other,8,2.84,128,8,4780,74.8,162.58,8.96,209.0,2340,1080,10,1,20,1,0,0,0,1,1
24999,Red,Dual Sim,6.39,Android Pie 9,8,2.2,128,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
16899,Red,Dual Sim,5.99,Android Oreo 8.1,8,2.2,128,6,3010,75.4,158.7,7.3,168.0,2160,1080,20,2,20,1,1,1,1,1,0
16899,Gold,Dual Sim,5.99,Android Oreo 8.1,8,2.2,128,6,3010,75.4,158.7,7.3,168.0,2160,1080,20,2,20,1,1,1,1,1,0
24999,Black,Dual Sim,6.39,Android Pie 9,8,2.2,128,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
16899,Blue,Dual Sim,5.99,Android Oreo 8.1,8,2.2,128,6,3010,75.4,158.7,7.3,168.0,2160,1080,20,2,20,1,1,1,1,1,0
16999,Red,Dual Sim,5.99,other,8,1.8,64,6,4000,75.35,158.58,8.05,181.0,2160,1080,12,2,20,1,0,1,1,1,0
24999,Other,Dual Sim,6.39,Android Pie 9,8,2.2,128,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
9799,Other,Dual Sim,6.22,Android Pie 9,8,1.95,64,4,5000,75.41,156.48,9.4,188.0,1520,720,12,2,8,1,1,1,0,1,0
9799,Red,Dual Sim,6.22,Android Pie 9,8,1.95,64,4,5000,75.41,156.48,9.4,188.0,1520,720,12,2,8,1,1,1,0,1,0
12999,Other,Dual Sim,6.088,Android Pie 9,8,2.0,64,4,4030,71.85,153.48,8.475,173.8,1560,720,48,3,32,1,1,1,1,1,0
14999,Black,Dual Sim,6.67,other,8,2.3,128,6,5020,76.68,165.75,8.8,209.0,2400,1080,48,4,16,1,0,1,0,1,0
14999,Blue,Dual Sim,6.67,other,8,2.3,128,6,5020,76.68,165.75,8.8,209.0,2400,1080,48,4,16,1,0,1,0,1,0
16998,Blue,Dual Sim,6.67,other,8,2.3,64,4,5020,76.68,165.75,8.8,209.0,2400,1080,48,4,16,1,0,1,0,1,0
7399,Blue,Dual Sim,6.22,Android Pie 9,8,2.0,32,2,5000,9.0,175.0,92.0,186.0,1520,720,13,2,8,1,1,1,0,1,0
7499,Other,Dual Sim,6.22,Android Pie 9,8,2.0,32,3,5000,9.0,175.0,92.0,186.0,1520,720,13,2,8,1,0,1,0,1,0
11199,Other,Dual Sim,6.3,Android Pie 9,8,2.0,64,4,4000,8.35,158.3,75.3,190.0,2280,1080,48,2,13,1,0,0,0,1,0
13261,Blue,Dual Sim,6.3,Android Pie 9,8,2.0,128,6,4000,8.35,158.3,75.3,190.0,2280,1080,48,2,13,1,0,0,0,1,0
10978,Blue,Dual Sim,6.3,Android Pie 9,8,2.0,32,3,4000,8.35,158.3,75.3,190.0,2280,1080,48,2,13,1,0,0,0,1,0
12999,Blue,Dual Sim,6.088,Android Pie 9,8,2.0,64,4,4030,71.85,153.48,8.475,173.8,1560,720,48,3,32,1,1,1,1,1,0
12999,Other,Dual Sim,6.088,Android Pie 9,8,2.0,64,4,4030,71.85,153.48,8.475,173.8,1560,720,48,3,32,1,1,1,1,1,0
11280,Blue,Dual Sim,6.3,Android Pie 9,8,2.0,64,4,4000,8.35,158.3,75.3,190.0,2280,1080,48,2,13,1,0,0,0,1,0
10100,Black,Dual Sim,6.3,Android Pie 9,8,2.0,64,4,4000,8.35,158.3,75.3,190.0,2280,1080,48,2,13,1,0,0,0,1,0
7450,Other,Dual Sim,6.22,Android Pie 9,8,2.0,32,3,5000,9.0,175.0,92.0,186.0,1520,720,13,2,8,1,1,1,0,1,0
12999,Black,Dual Sim,6.3,Android Pie 9,8,2.0,64,6,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,1,0,1,0
29999,Red,Dual Sim,6.39,Android Pie 9,8,2.84,256,8,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
12999,Other,Dual Sim,6.67,other,8,2.3,64,4,5020,76.68,165.75,8.8,209.0,2400,1080,48,4,16,1,0,1,0,1,0
12999,Black,Dual Sim,6.67,other,8,2.3,64,4,5020,76.68,165.75,8.8,209.0,2400,1080,48,4,16,1,0,1,0,1,0
7499,Blue,Dual Sim,6.22,Android Pie 9,8,2.0,32,3,5000,9.0,175.0,92.0,186.0,1520,720,13,2,8,1,1,1,0,1,0
11999,Black,Dual Sim,6.26,Android Oreo 8.1,8,1.8,64,6,4000,76.4,157.9,8.26,181.0,2280,1080,12,2,20,2,1,1,1,1,0
11999,Red,Dual Sim,6.26,Android Oreo 8.1,8,1.8,64,6,4000,76.4,157.9,8.26,181.0,2280,1080,12,2,20,2,1,1,1,1,0
12999,Black,Dual Sim,5.5,other,8,2.0,64,4,4100,76.0,151.0,8.4,165.0,1920,1080,13,1,5,1,0,1,0,1,0
11999,Gold,Dual Sim,6.26,Android Oreo 8.1,8,1.8,64,6,4000,76.4,157.9,8.26,181.0,2280,1080,12,2,20,2,1,1,1,1,0
21999,Blue,Dual Sim,6.39,Android Pie 9,8,2.2,64,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
12999,Gold,Dual Sim,5.99,other,8,1.8,64,4,4000,75.35,158.58,8.05,181.0,2160,1080,12,2,20,1,0,1,1,1,0
13999,Other,Dual Sim,6.3,Android Pie 9,8,2.0,128,6,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,0,0,0,0
16999,Black,Dual Sim,6.67,other,8,2.3,128,6,5020,76.68,165.5,8.8,209.0,2400,1080,64,4,32,1,0,1,0,1,0
16999,Other,Dual Sim,6.67,other,8,2.3,128,6,5020,76.68,165.5,8.8,209.0,2400,1080,64,4,32,1,0,1,0,1,0
6999,Red,Dual Sim,6.22,Android Pie 9,8,1.95,32,2,5000,75.41,156.48,9.4,188.0,1520,720,12,1,8,1,1,1,0,1,0
10999,Black,Dual Sim,6.3,Android Pie 9,8,2.0,64,4,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,1,0,1,0
55400,Other,Dual Sim,6.67,other,8,2.84,256,8,4780,74.8,162.58,8.96,209.0,2340,1080,10,1,20,1,0,0,0,1,1
13999,Black,Dual Sim,5.99,other,8,1.8,64,6,4000,75.35,158.58,8.05,181.0,2160,1080,12,2,20,1,0,1,1,1,0
16999,Gold,Dual Sim,5.99,other,8,1.8,64,6,4000,75.35,158.58,8.05,181.0,2160,1080,12,2,20,1,0,1,1,1,0
12999,Red,Dual Sim,5.99,other,8,1.8,64,4,4000,75.35,158.58,8.05,181.0,2160,1080,12,2,20,1,0,1,1,1,0
17999,Gold,Dual Sim,5.99,other,8,1.8,64,6,4000,75.35,158.58,8.05,181.0,2160,1080,12,2,20,1,0,1,1,1,0
13999,Blue,Dual Sim,5.99,Android Oreo 8.1,8,2.2,64,4,3010,75.4,158.7,7.3,168.0,2160,1080,20,2,20,1,1,1,1,1,0
6700,Blue,Dual Sim,5.0,Android Oreo 8.1,4,1.4,16,1,3000,70.1,140.4,8.35,137.0,1280,720,8,1,5,1,1,1,1,1,0
12999,Black,Dual Sim,5.99,other,8,1.8,64,4,4000,75.35,158.58,8.05,181.0,2160,1080,12,2,20,1,0,1,1,1,0
9999,Blue,Dual Sim,6.3,Android Pie 9,8,2.2,32,3,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,1,1,1,0
8499,Gold,Dual Sim,5.99,other,8,2.0,64,4,3080,77.26,160.73,8.1,168.0,1440,720,12,2,16,1,1,1,1,0,0
6699,Black,Dual Sim,5.45,Android Pie 9,8,2.0,32,2,4000,70.4,146.3,9.55,165.0,1440,720,12,1,5,1,1,1,0,1,0
11999,Black,Dual Sim,6.3,Android Pie 9,8,2.2,64,4,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,1,1,1,0
7999,Blue,Dual Sim,5.99,other,8,2.0,32,3,3080,77.26,160.73,8.1,168.0,1440,720,12,2,16,1,1,1,1,0,0
8499,Black,Dual Sim,5.99,other,8,2.0,64,4,3080,77.26,160.73,8.1,168.0,1440,720,12,2,16,1,1,1,1,0,0
9999,Black,Dual Sim,6.3,Android Pie 9,8,2.2,32,3,4000,75.21,159.21,8.1,186.0,2340,1080,12,2,13,1,1,1,0,1,0
6499,Black,Dual Sim,5.45,Android Pie 9,8,2.0,16,2,4000,70.4,146.3,9.55,165.0,1440,720,12,1,5,1,1,1,0,1,0
7999,Gold,Dual Sim,5.45,Android Oreo 8.1,8,2.0,32,3,3000,71.5,147.5,8.3,146.0,1440,720,12,2,5,1,1,1,0,1,0
9999,Red,Dual Sim,6.3,Android Pie 9,8,2.2,32,3,4000,75.21,159.21,8.1,186.0,2340,1080,12,2,13,1,1,1,0,1,0
11999,Red,Dual Sim,6.3,Android Pie 9,8,2.2,64,4,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,1,1,1,0
6499,Gold,Dual Sim,5.45,Android Pie 9,8,2.0,16,2,4000,70.4,146.3,9.55,165.0,1440,720,12,1,5,1,1,1,0,1,0
13999,Blue,Dual Sim,5.99,other,8,1.8,64,6,4000,75.35,158.58,8.05,181.0,2160,1080,12,2,20,1,0,1,1,1,0
12999,Blue,Dual Sim,5.99,other,8,1.8,64,4,4000,75.35,158.58,8.05,181.0,2160,1080,12,2,20,1,0,1,1,1,0
8369,Blue,Dual Sim,6.26,Android Pie 9,8,1.8,32,3,4000,75.58,158.73,8.47,180.0,1520,720,12,2,32,1,1,1,1,0,0
8090,Black,Dual Sim,6.26,Android Pie 9,8,1.8,32,3,4000,75.58,158.73,8.47,180.0,1520,720,12,2,32,1,1,1,1,0,0
9999,Blue,Dual Sim,6.3,Android Pie 9,8,2.2,32,3,4000,75.21,159.21,8.1,186.0,2340,1080,12,2,13,1,1,1,0,1,0
21999,Red,Dual Sim,6.39,Android Pie 9,8,2.2,64,6,4000,74.3,156.7,8.8,191.0,2340,1080,48,3,20,1,1,1,0,1,0
9999,Other,Dual Sim,6.3,Android Pie 9,8,2.2,32,3,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,0,0,0,0
13999,Gold,Dual Sim,5.5,other,8,2.0,64,4,4100,76.0,151.0,8.4,165.0,1920,1080,13,1,5,1,0,1,0,1,0
8499,Other,Dual Sim,6.22,Android Pie 9,8,2.0,32,2,5000,9.0,175.0,92.0,186.0,1520,720,13,2,8,1,0,1,0,1,0
8498,Other,Dual Sim,6.22,Android Pie 9,8,2.0,32,2,5000,9.0,175.0,92.0,186.0,1520,720,13,2,8,1,1,1,0,1,0
9990,Other,Dual Sim,6.22,Android Pie 9,8,1.95,64,3,5000,75.41,156.48,9.4,191.0,1520,720,13,2,8,1,0,1,0,1,0
9990,Blue,Dual Sim,6.22,Android Pie 9,8,1.95,64,3,5000,75.41,156.48,9.4,191.0,1520,720,13,2,8,1,0,1,0,1,0
11349,Black,Dual Sim,6.26,Android Oreo 8.1,8,1.8,64,4,4000,76.4,157.9,8.26,181.0,2280,1080,12,2,20,2,1,1,1,1,0
16999,Blue,Dual Sim,6.3,Android Pie 9,8,2.0,128,6,4000,75.21,159.21,8.1,186.0,2340,1080,48,2,13,1,1,1,0,1,0
